feedback_id,created_at,customer_segment,channel,feedback
FB-001,2026-01-08,Enterprise,Support,"Exporting dashboards to CSV takes forever — over 8 minutes for a 50k-row report. Our analysts are blocked every morning waiting for the download to finish."
FB-002,2026-01-10,SMB,Survey,"Love the new chart builder. Drag and drop is intuitive and we had our first dashboard live in under an hour. Really impressed."
FB-003,2026-01-12,Mid-market,Interview,"We desperately need a Salesforce integration. Right now we're manually copying opportunity data into Prism every week. It's error-prone and takes half a day."
FB-004,2026-01-14,Enterprise,Support,"The export limit of 10,000 rows is a serious problem for us. We have reports with 200k+ rows and we can't get the full dataset out without splitting it into 20 separate exports."
FB-005,2026-01-15,SMB,Survey,"Onboarding was confusing. I couldn't figure out how to connect my first data source — the docs sent me to a page that doesn't exist anymore."
FB-006,2026-01-17,Mid-market,Support,"Dashboard loading times have degraded significantly over the past month. What used to load in 2 seconds now takes 10–15 seconds. Nothing changed on our side."
FB-007,2026-01-19,Enterprise,Interview,"We need custom roles beyond Admin/Editor/Viewer. Our compliance team needs read access to specific dashboards only — not the whole workspace."
FB-008,2026-01-21,SMB,Sales,"Can Prism export to Excel? Our finance team only works in .xlsx files and they refuse to touch CSV. If you don't support Excel export we'll have to look elsewhere."
FB-009,2026-01-22,Mid-market,Survey,"The product is good but the initial setup took us two weeks. There's no guided setup wizard — you're thrown in at the deep end with no checklist or onboarding flow."
FB-010,2026-01-24,Enterprise,Support,"We'd like to integrate Prism with Slack so our team gets automatic alerts when a KPI drops below threshold. Is that on the roadmap?"
FB-011,2026-01-25,SMB,Survey,"Everything works well for our small team. Performance is fine, reports are clear, and the price is fair. Happy customer."
FB-012,2026-01-27,Mid-market,Support,"Exports randomly fail mid-download with a 'connection reset' error. It happens about 30% of the time on files larger than 5,000 rows. We've raised this twice before."
FB-013,2026-01-28,Enterprise,Interview,"We need row-level security. Different regional teams should only see data for their own territory. Right now everyone sees everything, which is a GDPR concern for us."
FB-014,2026-01-30,SMB,Survey,"I tried to invite a freelance contractor as a guest — view-only, just for one project — but the only options are full Editor or Viewer across the entire workspace. Very limiting."
FB-015,2026-02-03,Mid-market,Sales,"Do you integrate with HubSpot? We track all our customer health metrics in HubSpot and we want to pull that data directly into Prism dashboards without any manual exports."
FB-016,2026-02-04,Enterprise,Support,"The platform timed out three times during our quarterly board meeting. We were presenting live dashboards and the page just went blank. Extremely embarrassing."
FB-017,2026-02-05,SMB,Interview,"Your help documentation is outdated. Several screenshots show an old UI that no longer matches the product. As a new user this is really disorienting."
FB-018,2026-02-07,Mid-market,Survey,"The Viewer role is too restrictive — Viewers can't even apply filters to dashboards. They have to ask an Editor to do it for them. That defeats the purpose."
FB-019,2026-02-09,Enterprise,Support,"We need scheduled exports — ideally a daily CSV pushed to our S3 bucket automatically. Right now someone has to log in and manually trigger the export every morning."
FB-020,2026-02-10,SMB,Sales,"Is there a Zapier integration? We want to trigger workflows in other tools whenever a metric crosses a threshold in Prism."
FB-021,2026-02-12,Mid-market,Support,"Query performance has really dropped. Simple aggregations on tables with under 1M rows are taking 20+ seconds. Six months ago the same queries ran in under 3 seconds."
FB-022,2026-02-13,Enterprise,Interview,"Onboarding new analysts onto Prism takes us about 3 weeks. There's no structured training path, no in-product tooltips, and the video tutorials are from 2023 and completely out of date."
FB-023,2026-02-14,SMB,Survey,"I'm happy overall. The dashboards look professional and clients are impressed when I share them. Would love a dark mode but it's a minor thing."
FB-024,2026-02-17,Mid-market,Sales,"We need to export reports as PDFs with our company logo and custom colours. The current PDF export is the default Prism branding — we can't send that to clients."
FB-025,2026-02-18,Enterprise,Support,"Exporting takes too long. Our morning report runs take 8–10 minutes to download. The team is frustrated and some have started using workarounds outside the platform."
FB-026,2026-02-19,SMB,Interview,"I'd love a Google Sheets integration that keeps data in sync automatically. Right now I export CSV and paste it into Sheets manually every day."
FB-027,2026-02-20,Mid-market,Survey,"The product has potential but we hit a wall on day one. There's no sample data or demo workspace to explore before connecting real data. We gave up and came back two weeks later."
FB-028,2026-02-21,Enterprise,Support,"We need SSO with our identity provider (Okta). Managing users manually doesn't scale at 800 employees. Is SAML support on the roadmap?"
FB-029,2026-02-24,Mid-market,Interview,"Some dashboards load instantly, others take 30 seconds or more. There's no obvious reason for the difference — same data volume, similar complexity. It feels unpredictable."
